Symbol,Expiration,Strike,Right,Price
TREX,20250417,60.0,C,
TREX,20250417,60.0,P,
TREX,20250417,62.5,C,
TREX,20250417,62.5,P,
TREX,20250417,65.0,C,
TREX,20250417,65.0,P,
TREX,20250417,67.5,C,
TREX,20250417,67.5,P,
TREX,20250417,70.0,C,
TREX,20250417,70.0,P,
TREX,20250417,72.5,C,
TREX,20250417,72.5,P,
TREX,20250417,75.0,C,
TREX,20250417,75.0,P,
TREX,20250417,77.5,C,
TREX,20250417,77.5,P,
TREX,20250417,80.0,C,
TREX,20250417,80.0,P,
TREX,20250417,82.5,C,
TREX,20250417,82.5,P,
TREX,20250417,85.0,C,
TREX,20250417,85.0,P,
TREX,20250417,90.0,C,
TREX,20250417,90.0,P,
TREX,20250417,95.0,C,
TREX,20250417,95.0,P,
TREX,20250417,100.0,C,
TREX,20250417,100.0,P,
TREX,20250417,105.0,C,
TREX,20250417,105.0,P,
TREX,20250417,110.0,C,
TREX,20250417,110.0,P,
TREX,20250417,115.0,C,
TREX,20250417,115.0,P,
TREX,20250718,30.0,C,
TREX,20250718,30.0,P,
TREX,20250718,35.0,C,
TREX,20250718,35.0,P,
TREX,20250718,40.0,C,
TREX,20250718,40.0,P,
TREX,20250718,45.0,C,
TREX,20250718,45.0,P,
TREX,20250718,47.5,C,
TREX,20250718,47.5,P,
TREX,20250718,50.0,C,
TREX,20250718,50.0,P,
TREX,20250718,55.0,C,
TREX,20250718,55.0,P,
TREX,20250718,57.5,C,
TREX,20250718,57.5,P,
TREX,20250718,60.0,C,
TREX,20250718,60.0,P,
TREX,20250718,62.5,C,
TREX,20250718,62.5,P,
TREX,20250718,65.0,C,
TREX,20250718,65.0,P,
TREX,20250718,67.5,C,
TREX,20250718,67.5,P,
TREX,20250718,70.0,C,
TREX,20250718,70.0,P,
TREX,20250718,72.5,C,
TREX,20250718,72.5,P,
TREX,20250718,75.0,C,
TREX,20250718,75.0,P,
TREX,20250718,77.5,C,
TREX,20250718,77.5,P,
TREX,20250718,80.0,C,
TREX,20250718,80.0,P,
TREX,20250718,82.5,C,
TREX,20250718,82.5,P,
TREX,20250718,85.0,C,
TREX,20250718,85.0,P,
TREX,20250718,90.0,C,
TREX,20250718,90.0,P,
TREX,20250718,95.0,C,
TREX,20250718,95.0,P,
TREX,20250718,100.0,C,
TREX,20250718,100.0,P,
TREX,20250718,105.0,C,
TREX,20250718,105.0,P,
TREX,20250718,110.0,C,
TREX,20250718,110.0,P,
TREX,20250718,115.0,C,
TREX,20250718,115.0,P,
